generation,fitness_min,fitness_mean,fitness_max,fitness_std,labels_entropy,labels_imbalance
51,0.0625,0.09734375,0.15234375,0.017778201627976886,0.9998550008381685,1.08
52,0.0703125,0.099765625,0.1484375,0.014557478010137091,0.9998550008381685,1.08
53,0.046875,0.096640625,0.13671875,0.016177912520335402,0.9999202655046178,1.04
54,0.0625,0.09875,0.140625,0.015159873922422639,0.9998550008381684,1.08
55,0.05078125,0.1008984375,0.1484375,0.015488219675949483,0.999789736171719,1.08
56,0.06640625,0.100390625,0.13671875,0.015042866807788833,0.9998550008381685,1.08
57,0.06640625,0.0997265625,0.1328125,0.013423582454694008,0.9998550008381685,1.08
58,0.0546875,0.09828125,0.13671875,0.016524130083002856,0.9998550008381685,1.08
59,0.05859375,0.10171875,0.1484375,0.016636406448847358,0.9999202655046178,1.04
60,0.05859375,0.098125,0.13671875,0.01615582688033949,0.9999202655046178,1.04
61,0.0625,0.100625,0.13671875,0.015079541708055982,0.999789736171719,1.08
62,0.0703125,0.1039453125,0.1484375,0.01525834452477459,0.9998550008381685,1.08
63,0.05078125,0.0980859375,0.1328125,0.014893983668304418,0.9998550008381685,1.08
64,0.06640625,0.100703125,0.14453125,0.014653176316822062,0.9997268898426638,1.12
65,0.05859375,0.1005859375,0.1328125,0.014857877734108554,0.9997268898426638,1.12
66,0.046875,0.0998828125,0.16015625,0.017679870469667437,0.9999202655046178,1.04
67,0.06640625,0.097734375,0.13671875,0.014688538859536882,0.9998550008381685,1.08
68,0.05859375,0.101015625,0.140625,0.01617225241105502,0.9998550008381685,1.08
69,0.06640625,0.1019140625,0.1328125,0.013998280010834144,0.9998550008381684,1.08
70,0.046875,0.0980078125,0.140625,0.016518357670686237,0.9998550008381684,1.08
71,0.05859375,0.0991796875,0.12890625,0.014739508566874567,0.9998550008381685,1.08
72,0.05859375,0.1018359375,0.14453125,0.01720750788570846,0.9997268898426639,1.12
73,0.0703125,0.0986328125,0.1328125,0.014816741464867325,0.9998550008381684,1.08
74,0.0703125,0.1004296875,0.13671875,0.01456664665680536,0.999789736171719,1.08
75,0.05859375,0.1005078125,0.15625,0.015623583920205976,0.9998550008381684,1.08
76,0.0703125,0.100703125,0.12890625,0.013102892467528878,0.9997897361717188,1.08
77,0.0546875,0.0986328125,0.16015625,0.0155110591689597,0.9999202655046178,1.04
78,0.0703125,0.098515625,0.140625,0.013948977547095521,0.9999202655046178,1.04
79,0.06640625,0.1005078125,0.13671875,0.012871138206486197,0.9998550008381685,1.08
80,0.05859375,0.0945703125,0.125,0.012828864834786386,0.9997268898426639,1.12
81,0.0546875,0.0980859375,0.14453125,0.014955326950595857,0.999789736171719,1.08
82,0.04296875,0.100546875,0.140625,0.015385071967759041,0.9999202655046178,1.04
83,0.07421875,0.0976171875,0.125,0.012481614897488976,0.999789736171719,1.08
84,0.05859375,0.0978515625,0.14453125,0.016232102147803244,0.9999202655046178,1.04
